timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:15:36.628968,AWS,ap-northeast-1,57.183.18.62,GCP,asia-south1,34.93.67.233,TRUE,138.2,137,148,0,,
2025-08-02T02:15:45.832763,AWS,ap-northeast-1,57.183.18.62,GCP,asia-southeast1,34.126.128.161,TRUE,79.6,77,95,0,,
2025-08-02T02:15:55.095253,AWS,ap-northeast-1,57.183.18.62,GCP,australia-southeast1,35.244.90.228,TRUE,136.7,134,151,0,,
2025-08-02T02:16:04.486400,AWS,ap-northeast-1,57.183.18.62,GCP,europe-central2,34.118.31.88,TRUE,265.6,265,268,0,,
2025-08-02T02:16:13.875984,AWS,ap-northeast-1,57.183.18.62,GCP,europe-west12,34.17.122.250,TRUE,258.8,257,262,0,,
2025-08-02T02:16:23.247743,AWS,ap-northeast-1,57.183.18.62,GCP,europe-west4,34.13.152.183,TRUE,244.8,244,247,0,,
2025-08-02T02:16:32.547968,AWS,ap-northeast-1,57.183.18.62,GCP,northamerica-northeast1,34.152.17.65,TRUE,185.9,185,188,0,,
2025-08-02T02:16:41.948392,AWS,ap-northeast-1,57.183.18.62,GCP,southamerica-east1,34.95.199.13,TRUE,291.1,290,295,0,,
2025-08-02T02:16:51.238449,AWS,ap-northeast-1,57.183.18.62,GCP,us-east4,35.245.136.40,TRUE,178.7,178,180,0,,
2025-08-02T02:17:00.481863,AWS,ap-northeast-1,57.183.18.62,GCP,us-west1,34.168.233.222,TRUE,123.2,122,125,0,,
2025-08-02T02:17:10.036637,AWS,ap-northeast-2,3.35.173.236,AWS,af-south-1,13.245.236.16,TRUE,425.6,425,426,0,,
2025-08-02T02:17:19.199070,AWS,ap-northeast-2,3.35.173.236,AWS,ap-northeast-1,57.183.18.62,TRUE,45.7,45,47,0,,
2025-08-02T02:17:28.448442,AWS,ap-northeast-2,3.35.173.236,AWS,ap-south-1,3.110.78.219,TRUE,149.3,138,243,0,,
2025-08-02T02:17:37.654009,AWS,ap-northeast-2,3.35.173.236,AWS,ap-southeast-1,13.229.101.72,TRUE,81,79,92,0,,
2025-08-02T02:17:46.971613,AWS,ap-northeast-2,3.35.173.236,AWS,ca-central-1,35.183.113.19,TRUE,185.8,185,186,0,,
2025-08-02T02:17:56.382829,AWS,ap-northeast-2,3.35.173.236,AWS,eu-central-1,18.184.239.190,TRUE,274.4,271,297,0,,
2025-08-02T02:18:05.796159,AWS,ap-northeast-2,3.35.173.236,AWS,eu-south-2,51.48.91.118,TRUE,288.6,288,289,0,,
2025-08-02T02:18:15.194034,AWS,ap-northeast-2,3.35.173.236,AWS,eu-west-1,63.33.190.43,TRUE,273.4,273,275,0,,
2025-08-02T02:18:24.621975,AWS,ap-northeast-2,3.35.173.236,AWS,me-south-1,157.175.182.59,TRUE,296.1,295,301,0,,
2025-08-02T02:18:34.039205,AWS,ap-northeast-2,3.35.173.236,AWS,sa-east-1,52.67.230.2,TRUE,304.9,304,305,0,,
2025-08-02T02:18:43.318264,AWS,ap-northeast-2,3.35.173.236,AWS,us-east-1,13.223.204.77,TRUE,186.4,186,189,0,,
2025-08-02T02:18:52.554168,AWS,ap-northeast-2,3.35.173.236,AWS,us-west-1,54.193.216.187,TRUE,122.7,122,123,0,,
2025-08-02T02:19:01.728427,AWS,ap-northeast-2,3.35.173.236,GCP,asia-east2,34.92.77.143,TRUE,42.8,41,47,0,,
2025-08-02T02:19:10.881292,AWS,ap-northeast-2,3.35.173.236,GCP,asia-northeast1,34.146.113.141,TRUE,36.3,35,39,0,,
2025-08-02T02:19:20.130149,AWS,ap-northeast-2,3.35.173.236,GCP,asia-south1,34.93.67.233,TRUE,137.4,137,139,0,,
2025-08-02T02:19:29.350013,AWS,ap-northeast-2,3.35.173.236,GCP,asia-southeast1,34.126.128.161,TRUE,78.3,78,81,0,,
2025-08-02T02:19:38.616894,AWS,ap-northeast-2,3.35.173.236,GCP,australia-southeast1,35.244.90.228,TRUE,135.8,134,145,0,,
2025-08-02T02:19:48.019936,AWS,ap-northeast-2,3.35.173.236,GCP,europe-central2,34.118.31.88,TRUE,265.3,265,267,0,,
2025-08-02T02:19:57.411670,AWS,ap-northeast-2,3.35.173.236,GCP,europe-west12,34.17.122.250,TRUE,259.5,258,264,0,,
2025-08-02T02:20:06.773596,AWS,ap-northeast-2,3.35.173.236,GCP,europe-west4,34.13.152.183,TRUE,245.1,244,247,0,,
2025-08-02T02:20:16.106889,AWS,ap-northeast-2,3.35.173.236,GCP,northamerica-northeast1,34.152.17.65,TRUE,186.1,185,188,0,,
2025-08-02T02:20:25.533193,AWS,ap-northeast-2,3.35.173.236,GCP,southamerica-east1,34.95.199.13,TRUE,290.8,290,292,0,,
2025-08-02T02:20:34.829761,AWS,ap-northeast-2,3.35.173.236,GCP,us-east4,35.245.136.40,TRUE,178.7,178,181,0,,
2025-08-02T02:20:44.103067,AWS,ap-northeast-2,3.35.173.236,GCP,us-west1,34.168.233.222,TRUE,123.2,123,124,0,,
